family,genus,table1,species,level,number,Remove
Eriocaulaceae,Paepalanthus,no,Paepalanthus lamarckii,species,2.5,
Eriocaulaceae,Paepalanthus,no,Paepalanthus lamarckii,species,3,
Rubiaceae,Palicourea,no,Palicourea crocea,species,2,
Rubiaceae,Palicourea,no,Palicourea faxlucens,species,2,
Rubiaceae,Palicourea,no,Palicourea lasiorrhachis,species,1.99986187,yes
Rubiaceae,Palicourea,no,Palicourea lasiorrhachis,species,2,
Rubiaceae,Palicourea,no,Palicourea padifolia,species,1.99986187,yes
Rubiaceae,Palicourea,no,Palicourea padifolia,species,2,
Rubiaceae,Palicourea,no,Palicourea spp.,genus,NA,
Rubiaceae,Palicourea,no,Palicourea suerrensis,species,2,
Rubiaceae,Palicourea,no,Palicourea suerrensis,species,1.99986187,yes
Rubiaceae,Palicourea,no,Palicourea suerrensis,species,2,yes
Rubiaceae,Palicourea,no,Palicourea suerrensis,species,2,yes
Rubiaceae,Palicourea,no,Palicourea tutensis,species,2,
Rhamnaceae,Paliurus,no,Paliurus spp.,genus,2.5,
Araliaceae,Panax,no,Panax spp.,genus,2.5,
Amaryllidaceae,Pancratium,no,Pancratium maritimum,species,56.6,
Bignoniaceae,Pandorea,no,Pandorea jasminoides,species,283.5,
Bignoniaceae,Pandorea,no,Pandorea pandorana,species,86.6,
Poaceae,Panicum,no,Panicum deustum,species,1,
Rutaceae,Paramignya,no,Paramignya spp.,genus,6,
Sapindaceae,Paranephelium,no,Paranephelium spp.,genus,1,
Lauraceae,Parasassafras,no,Parasassafras spp.,genus,1,
Primulaceae,Parathesis,no,Parathesis amplifolia,species,9,
Primulaceae,Parathesis,no,Parathesis fusca,species,7,
Primulaceae,Parathesis,no,Parathesis glabra,species,8,
Primulaceae,Parathesis,no,Parathesis microcalyx,species,6,
Primulaceae,Parathesis,no,Parathesis montana,species,5.5,
Primulaceae,Parathesis,no,Parathesis panamensis,species,5.5,
Primulaceae,Parathesis,no,Parathesis seibertii,species,8,
Poaceae,Pariana,no,Pariana ulei,species,0.17,
Urticaceae,Parietaria,no,Parietaria spp.,genus,1,
Celastraceae,Parnassia,no,Parnassia palustris,species,NA,
Celastraceae,Parnassia,no,Parnassia palustris,species,225,
Celastraceae,Parnassia,no,Parnassia palustris,species,NA,
Celastraceae,Parnassia,no,Parnassia wightiana,species,751,
Fabaceae,Parochetus,no,Parochetus spp.,genus,12,
Passifloraceae,Paropsia,no,Paropsia spp.,genus,NA,
Brassicaceae,Parrya,no,Parrya nudicaulis,species,11.6,
Brassicaceae,Parrya,no,Parrya spp.,genus,30,
Apocynaceae,Parsonsia,no,Parsonsia lanceolata,species,66,
Asteraceae,Parthenium,no,Parthenium argentatum,species,1,
Passifloraceae,Passiflora,no,Passiflora aurantia,species,254,
Passifloraceae,Passiflora,no,Passiflora caerulea,species,252,
Passifloraceae,Passiflora,no,Passiflora edulis,species,140,
Passifloraceae,Passiflora,no,Passiflora edulis,species,300,
Passifloraceae,Passiflora,no,Passiflora foetida,species,31,
Passifloraceae,Passiflora,no,Passiflora misera,species,41,
Passifloraceae,Passiflora,no,Passiflora spp.,genus,NA,
Passifloraceae,Passiflora,no,Passiflora suberosa,species,24,
Passifloraceae,Passiflora,no,Passiflora vitifolia,species,300.3,
Passifloraceae,Passiflora,no,Passiflora vitifolia,species,288.166667,
Fabaceae,Paubrasilia,no,Paubrasilia echinata,species,2.35,
Fabaceae,Paubrasilia,no,Paubrasilia echinata,species,2.35,yes
Paulowniaceae,Paulownia,no,Paulownia spp.,genus,NA,
Paulowniaceae,Paulownia,no,Paulownia spp.,genus,NA,
Rubiaceae,Pavetta,no,Pavetta granitica,species,2,yes
Rubiaceae,Pavetta,no,Pavetta granitica,species,1,
Rubiaceae,Pavetta,no,Pavetta granitica,species,2,
Rubiaceae,Pavetta,no,Pavetta indica,species,2,
Rubiaceae,Pavetta,no,Pavetta tomentosa,species,2,
Sapindaceae,Pavieasia,no,Pavieasia spp.,genus,3,
Malvaceae,Pavonia,no,Pavonia bahamensis,species,5,
Brassicaceae,Pegaeophyton,no,Pegaeophyton spp.,genus,8.5,
Asparagaceae,Peliosanthes,no,Peliosanthes spp.,genus,9,
Tetrameristaceae,Pelliciera,no,Pelliciera spp.,genus,2,
Urticaceae,Pellionia,no,Pellionia spp.,genus,1,
Saxifragaceae,Peltoboykinia,no,Peltoboykinia spp.,genus,NA,
Fabaceae,Peltogyne,no,Peltogyne spp.,genus,NA,
Fabaceae,Pentaclethra,no,Pentaclethra macroloba,species,10,
Clusiaceae,Pentadesma,no,Pentadesma butyracea,species,121,
Rubiaceae,Pentagonia,no,Pentagonia spp.,genus,NA,
Rubiaceae,Pentas,no,Pentas spp.,genus,NA,
Rubiaceae,Pentas,no,Pentas spp.,genus,NA,
Penthoraceae,Penthorum,no,Penthorum spp.,genus,NA,
Penthoraceae,Penthorum,no,Penthorum spp.,genus,NA,
Piperaceae,Peperomia,no,Peperomia blanda,species,1,
Piperaceae,Peperomia,no,Peperomia blanda,species,1,
Piperaceae,Peperomia,no,Peperomia blanda,species,1,
Cactaceae,Pereskia,no,Pereskia spp.,genus,NA,
Asteraceae,Perezia,no,Perezia bellidifolia,species,1,yes
Asteraceae,Perezia,no,Perezia bellidifolia,species,1,
Asteraceae,Perezia,no,Perezia carthamoides,species,1,
Asteraceae,Perezia,no,Perezia pilifera,species,1,
Asteraceae,Perezia,no,Perezia recurvata,species,1,yes
Asteraceae,Perezia,no,Perezia recurvata,species,1,
Apocynaceae,Pergularia,no,Pergularia daemia,species,27.7,yes
Apocynaceae,Pergularia,no,Pergularia daemia,species,27.7,
Apocynaceae,Periploca,no,Periploca aphylla,species,38.4,yes
Apocynaceae,Periploca,no,Periploca aphylla,species,38.4,
Lauraceae,Persea,no,Persea americana,species,1,
Lauraceae,Persea,no,Persea americana,species,1,
Proteaceae,Persoonia,no,Persoonia falcata,species,2,
Loasaceae,Petalonyx,no,Petalonyx spp.,genus,1,
Loasaceae,Petalonyx,no,Petalonyx spp.,genus,1,
Picrodendraceae,Petalostigma,no,Petalostigma spp.,genus,7,
Lamiaceae,Petitia,no,Petitia spp.,genus,4,
Petiveriaceae,Petiveria,no,Petiveria spp.,genus,1,
Verbenaceae,Petrea,no,Petrea volubilis,species,2,
Verbenaceae,Petrea,no,Petrea volubilis,species,2,
Verbenaceae,Petrea,no,Petrea volubilis,species,2,
Verbenaceae,Petrea,no,Petrea volubilis,species,2,
Verbenaceae,Petrea,no,Petrea volubilis,species,2,
Petrosaviaceae,Petrosavia,no,Petrosavia spp.,genus,NA,
Monimiaceae,Peumus,no,Peumus spp.,genus,3,
Amaranthaceae,Pfaffia,no,Pfaffia spp.,genus,1,
Boraginaceae,Phacelia,no,Phacelia brachyantha,species,3.92,
Boraginaceae,Phacelia,no,Phacelia cumingii,species,18.8,
Boraginaceae,Phacelia,no,Phacelia secunda,species,3.56,
Boraginaceae,Phacelia,no,Phacelia secunda,species,3.9994475,yes
Boraginaceae,Phacelia,no,Phacelia secunda,species,4,yes
Boraginaceae,Phacelia,no,Phacelia sericea,species,22.3,
Boraginaceae,Phacelia,no,Phacelia sericea,species,4,
Fabaceae,Phaseolus,no,Phaseolus vulgaris,species,6.1,
Phellinaceae,Phelline,no,Phelline spp.,genus,6,
Rutaceae,Phellodendron,no,Phellodendron spp.,genus,5,
Strelitziaceae,Phenakospermum,no,Phenakospermum spp.,genus,NA,
Hydrangeaceae,Philadelphus,no,Philadelphus spp.,genus,NA,
Hydrangeaceae,Philadelphus,no,Philadelphus spp.,genus,NA,
Araceae,Philodendron,no,Philodendron grandipes,species,NA,
Araceae,Philodendron,no,Philodendron guttiferum,species,16,
Araceae,Philodendron,no,Philodendron inaequilaterum,species,NA,
Araceae,Philodendron,no,Philodendron jacquinii,species,6,
Araceae,Philodendron,no,Philodendron meliononi,species,53.04,
Araceae,Philodendron,no,Philodendron meliononi,species,10.4,
Araceae,Philodendron,no,Philodendron pedatum,species,33.93,
Araceae,Philodendron,no,Philodendron pedatum,species,3,
Araceae,Philodendron,no,Philodendron quinquenervium,species,77.77,
Araceae,Philodendron,no,Philodendron quinquenervium,species,7.7,
Araceae,Philodendron,no,Philodendron radiatum,species,40.5,
Araceae,Philodendron,no,Philodendron solimoesense,species,169.32,
Araceae,Philodendron,no,Philodendron solimoesense,species,5.1,
Araceae,Philodendron,no,Philodendron tripartitum,species,13.5,
Araceae,Philodendron,no,Philodendron venosum,species,27,
Amaranthaceae,Philoxerus,no,Philoxerus spp.,genus,1,
Philydraceae,Philydrella,no,Philydrella spp.,genus,NA,
Philydraceae,Philydrella,no,Philydrella spp.,genus,97.5,
Poaceae,Phleum,no,Phleum pratense,species,1,
Lamiaceae,Phlomis,no,Phlomis olivieri,species,3.9994475,
Lamiaceae,Phlomoides,no,Phlomoides forrestii,species,3.9994475,yes
Lamiaceae,Phlomoides,no,Phlomoides forrestii,species,4,
Lamiaceae,Phlomoides,no,Phlomoides forrestii,species,4,yes
Lamiaceae,Phlomoides,no,Phlomoides tatsienensis,species,3.9994475,yes
Lamiaceae,Phlomoides,no,Phlomoides tatsienensis,species,4,
Lamiaceae,Phlomoides,no,Phlomoides tatsienensis,species,4,yes
Lauraceae,Phoebe,no,Phoebe spp.,genus,1,
Arecaceae,Phoenix,no,Phoenix dactylifera,species,1,
Arecaceae,Phoenix,no,Phoenix spp.,genus,1,
Rosaceae,Photinia,no,Photinia spp.,genus,7,
Phrymaceae,Phryma,no,Phryma spp.,genus,1,
Phrymaceae,Phryma,no,Phryma spp.,genus,1,
Amaryllidaceae,Phycella,no,Phycella herbertiana,species,77,
Verbenaceae,Phyla,no,Phyla nodiflora,species,1.99986187,yes
Verbenaceae,Phyla,no,Phyla nodiflora,species,2,
Verbenaceae,Phyla,no,Phyla spp.,genus,2,
Phyllanthaceae,Phyllanthus,no,Phyllanthus arenarius,species,6,
Phyllanthaceae,Phyllanthus,no,Phyllanthus cochinchinensis,species,6,
Phyllanthaceae,Phyllanthus,no,Phyllanthus niruri,species,6,
Phyllanthaceae,Phyllanthus,no,Phyllanthus novae-hollandiae,species,10,yes
Phyllanthaceae,Phyllanthus,no,Phyllanthus novae-hollandiae,species,10,
Phyllanthaceae,Phyllanthus,no,Phyllanthus parvifolius,species,6,
Phyllanthaceae,Phyllanthus,no,Phyllanthus reticulatus,species,15,
Phyllanthaceae,Phyllanthus,no,Phyllanthus ruber,species,12,
Phyllanthaceae,Phyllanthus,no,Phyllanthus urinaria,species,6,
Phyllonomaceae,Phyllonoma,no,Phyllonoma spp.,genus,NA,
Poaceae,Phyllostachys,no,Phyllostachys heteroclada,species,1,
Poaceae,Phyllostachys,no,Phyllostachys nidularia,species,1,yes
Poaceae,Phyllostachys,no,Phyllostachys nidularia,species,1,
Poaceae,Phyllostachys,no,Phyllostachys nuda,species,1,
Solanaceae,Physalis,no,Physalis angulata,species,108.3,
Solanaceae,Physalis,no,Physalis longifolia,species,69.3,
Solanaceae,Physalis,no,Physalis spp.,genus,NA,
Solanaceae,Physalis,no,Physalis spp.,genus,70,
Brassicaceae,Physaria,no,Physaria fendleri,species,20.3,
Brassicaceae,Physaria,no,Physaria fendleri,species,20.3,yes
Lamiaceae,Physostegia,no,Physostegia spp.,genus,4,
Campanulaceae,Phyteuma,no,Phyteuma spp.,family,NA,
Phytolaccaceae,Phytolacca,no,Phytolacca spp.,genus,10.5,
Pinaceae,Picea,no,Picea spp.,family,NA,yes
Asteraceae,Picris,no,Picris hieracioides,species,1,yes
Asteraceae,Picris,no,Picris hieracioides,species,1,
Asteraceae,Picris,no,Picris hieracioides,species,1,yes
Urticaceae,Pilea,no,Pilea spp.,genus,1,
Myrtaceae,Pileanthus,no,Pileanthus filifolius,species,4,
Cactaceae,Pilosocereus,no,Pilosocereus lanuginosus,species,4551,
Cactaceae,Pilosocereus,no,Pilosocereus moritzianus,species,3555,
Apiaceae,Pimpinella,no,Pimpinella diversifolia,species,1.99986187,yes
Apiaceae,Pimpinella,no,Pimpinella diversifolia,species,2,
Apiaceae,Pimpinella,no,Pimpinella diversifolia,species,2,yes
Arecaceae,Pinanga,no,Pinanga spp.,genus,1,
Lentibulariaceae,Pinguicula,no,Pinguicula alpina,species,150.6,
Lentibulariaceae,Pinguicula,no,Pinguicula ionantha,species,1044,
Lentibulariaceae,Pinguicula,no,Pinguicula lutea,species,2037,
Lentibulariaceae,Pinguicula,no,Pinguicula planifolia,species,1118,
Lentibulariaceae,Pinguicula,no,Pinguicula spp.,family,NA,
Lentibulariaceae,Pinguicula,no,Pinguicula vallisneriifolia,species,255,
Lentibulariaceae,Pinguicula,no,Pinguicula villosa,species,55.8,
Lentibulariaceae,Pinguicula,no,Pinguicula vulgaris,species,375.2,yes
Lentibulariaceae,Pinguicula,no,Pinguicula vulgaris,species,272.5,
Lentibulariaceae,Pinguicula,no,Pinguicula vulgaris,species,375.2,
Loasaceae,Pinnasa,no,Pinnasa nana,species,87.9022517,yes
Loasaceae,Pinnasa,no,Pinnasa nana,species,88,
Pinaceae,Pinus,no,Pinus spp.,family,NA,yes
Pinaceae,Pinus,no,Pinus sylvestris,species,NA,yes
Pinaceae,Pinus,no,Pinus sylvestris,species,8.1,yes
Piperaceae,Piper,no,Piper spp.,genus,1,
Piperaceae,Piper,no,Piper spp.,genus,1,
Urticaceae,Pipturus,no,Pipturus argenteus,species,1,
Urticaceae,Pipturus,no,Pipturus argenteus,species,1,
Passifloraceae,Piriqueta,no,Piriqueta cistoides,species,25,
Anacardiaceae,Pistacia,no,Pistacia vera,species,1,
Araceae,Pistia,no,Pistia spp.,genus,35,
Bromeliaceae,Pitcairnia,no,Pitcairnia altensteinii,species,1896.24,
Bromeliaceae,Pitcairnia,no,Pitcairnia spp.,genus,1,
Bromeliaceae,Pitcairnia,no,Pitcairnia spp.,family,1,
Pittosporaceae,Pittosporum,no,Pittosporum spp.,genus,NA,
Fabaceae,Pityrocarpa,no,Pityrocarpa spp.,genus,14,
Lamiaceae,Pityrodia,no,Pityrodia spp.,genus,4,
Proteaceae,Placospermum,no,Placospermum spp.,genus,18.5,
Boraginaceae,Plagiobothrys,no,Plagiobothrys calandrinioides,species,4,
Boraginaceae,Plagiobothrys,no,Plagiobothrys stipitatus,species,4,
Boraginaceae,Plagiobothrys,no,Plagiobothrys stipitatus,species,4,yes
Celastraceae,Plagiopteron,no,Plagiopteron spp.,genus,5,
Plantaginaceae,Plantago,no,Plantago canescens,species,4,
Plantaginaceae,Plantago,no,Plantago fernandezia,species,2.5,
Plantaginaceae,Plantago,no,Plantago fernandezia,species,2.5,yes
Plantaginaceae,Plantago,no,Plantago lagopus,species,2,
Plantaginaceae,Plantago,no,Plantago lanceolata,species,2,
Plantaginaceae,Plantago,no,Plantago lanceolata,species,1,
Plantaginaceae,Plantago,no,Plantago major,species,18,
Plantaginaceae,Plantago,no,Plantago major,species,NA,
Plantaginaceae,Plantago,no,Plantago major,species,12,
Plantaginaceae,Plantago,no,Plantago major,species,2,
Plantaginaceae,Plantago,no,Plantago ovata,species,2,
Plantaginaceae,Plantago,no,Plantago patagonica,species,2,
Plantaginaceae,Plantago,no,Plantago spp.,family,NA,
Platanaceae,Platanus,no,Platanus spp.,genus,1.5,
Elaeocarpaceae,Platytheca,no,Platytheca galioides,species,2,
Elaeocarpaceae,Platytheca,no,Platytheca galioides,species,2,
Elaeocarpaceae,Platytheca,no,Platytheca galioides,species,NA,
Elaeocarpaceae,Platytheca,no,Platytheca spp.,genus,3,
Lamiaceae,Plectranthus,no,Plectranthus spp.,genus,4,
Plumbaginaceae,Plumbago,no,Plumbago zeylanica,species,1,yes
Plumbaginaceae,Plumbago,no,Plumbago zeylanica,species,1,
Plumbaginaceae,Plumbago,no,Plumbago zeylanica,species,1,
Plumbaginaceae,Plumbago,no,Plumbago zeylanica,species,1,yes
Apocynaceae,Plumeria,no,Plumeria spp.,genus,NA,
Podocarpaceae,Podocarpus,no,Podocarpus spp.,genus,1,yes
Arecaceae,Podococcus,no,Podococcus spp.,genus,9,
Berberidaceae,Podophyllum,no,Podophyllum peltatum,species,46.6,
Podostemaceae,Podostemum,no,Podostemum ceratophyllum,species,39,
Podostemaceae,Podostemum,no,Podostemum rutifolium,species,35,
Rubiaceae,Pogonopus,no,Pogonopus spp.,genus,NA,
Lamiaceae,Pogostemon,no,Pogostemon spp.,genus,4,
Urticaceae,Poikilospermum,no,Poikilospermum spp.,genus,1,
Polemoniaceae,Polemonium,no,Polemonium brandegeei,species,8,
Polemoniaceae,Polemonium,no,Polemonium foliosissimum,species,16.75,
Polemoniaceae,Polemonium,no,Polemonium micranthum,species,5.12,
Polemoniaceae,Polemonium,no,Polemonium micranthum,species,6.7,
Polemoniaceae,Polemonium,no,Polemonium pauciflorum,species,71.6,
Polemoniaceae,Polemonium,no,Polemonium pulcherrimum,species,12.8,
Polemoniaceae,Polemonium,no,Polemonium pulcherrimum,species,7.2,
Polemoniaceae,Polemonium,no,Polemonium pulcherrimum,species,10,
Polemoniaceae,Polemonium,no,Polemonium reptans,species,9.4,
Polemoniaceae,Polemonium,no,Polemonium viscosum,species,13,
Polemoniaceae,Polemonium,no,Polemonium viscosum,species,12.8528666,yes
Polemoniaceae,Polemonium,no,Polemonium viscosum,species,12.85,
Polemoniaceae,Polemonium,no,Polemonium viscosum,species,12.8,yes
Polemoniaceae,Polemonium,no,Polemonium viscosum,species,12.8,yes
Salicaceae,Poliothyrsis,no,Poliothyrsis spp.,genus,NA,
Polygalaceae,Polygala,no,Polygala salasiana,species,1.99986187,yes
Polygalaceae,Polygala,no,Polygala salasiana,species,2,
Polygalaceae,Polygala,no,Polygala spp.,genus,2,
Polygalaceae,Polygaloides,no,Polygaloides vayredae,species,1.99986187,yes
Polygalaceae,Polygaloides,no,Polygaloides vayredae,species,2,
Asparagaceae,Polygonatum,no,Polygonatum odoratum,species,16,
Asparagaceae,Polygonatum,no,Polygonatum spp.,genus,15,
Polygonaceae,Polygonum,no,Polygonum bowenkampii,species,1,
Polygonaceae,Polygonum,no,Polygonum runcinatum,species,1,yes
Polygonaceae,Polygonum,no,Polygonum runcinatum,species,1,
Polygonaceae,Polygonum,no,Polygonum runcinatum,species,1,yes
Polygonaceae,Polygonum,no,Polygonum spp.,genus,1,
Podostemaceae,Polypleurum,no,Polypleurum wallichii,species,381.5,
Araliaceae,Polyscias,no,Polyscias elegans,species,2,yes
Araliaceae,Polyscias,no,Polyscias elegans,species,2,
Rubiaceae,Pomax,no,Pomax umbellata,species,1,
Sapindaceae,Pometia,no,Pometia spp.,genus,2,
Fabaceae,Pongamia,no,Pongamia pinnata,species,2,yes
Fabaceae,Pongamia,no,Pongamia pinnata,species,2,
Pontederiaceae,Pontederia,no,Pontederia cordata,species,1,yes
Pontederiaceae,Pontederia,no,Pontederia cordata,species,1,
Pontederiaceae,Pontederia,no,Pontederia parviflora,species,1,
Pontederiaceae,Pontederia,no,Pontederia spp.,genus,1,
Pontederiaceae,Pontederia,no,Pontederia spp.,genus,1,
Salicaceae,Populus,no,Populus qiongdaoensis,species,4,
Salicaceae,Populus,no,Populus qiongdaoensis,species,NA,
Salicaceae,Populus,no,Populus spp.,genus,13.5,
Salicaceae,Populus,no,Populus spp.,genus,13.5,
Salicaceae,Populus,no,Populus tremuloides,species,NA,
Salicaceae,Populus,no,Populus tremuloides,species,6,
Annonaceae,Porcelia,no,Porcelia spp.,genus,NA,
Portulacaceae,Portulaca,no,Portulaca grandiflora,species,183,
Portulacaceae,Portulaca,no,Portulaca hirsutissima,species,63,
Portulacaceae,Portulaca,no,Portulaca spp.,family,NA,
Posidoniaceae,Posidonia,no,Posidonia spp.,family,1,
Rubiaceae,Posoqueria,no,Posoqueria spp.,genus,NA,
Rosaceae,Potaninia,no,Potaninia spp.,genus,1,
Rosaceae,Potentilla,no,Potentilla lancinata,species,99.5405417,
Rosaceae,Potentilla,no,Potentilla lancinata,species,96.75,
Rosaceae,Potentilla,no,Potentilla lancinata,species,105,
Rosaceae,Potentilla,no,Potentilla lancinata,species,105,yes
Rosaceae,Potentilla,no,Potentilla spp.,genus,1,
Urticaceae,Pouzolzia,no,Pouzolzia spp.,genus,1,
Apiaceae,Pozoa,no,Pozoa coriacea,species,2,
Lamiaceae,Prasium,no,Prasium spp.,genus,4,
Lamiaceae,Premna,no,Premna serratifolia,species,4,yes
Lamiaceae,Premna,no,Premna serratifolia,species,4,
Lamiaceae,Premna,no,Premna serratifolia,species,4,
Lamiaceae,Premna,no,Premna serratifolia,species,4,
Asteraceae,Prenanthes,no,Prenanthes purpurea,species,1,
Rosaceae,Prinsepia,no,Prinsepia spp.,genus,2,
Fabaceae,Prioria,no,Prioria spp.,genus,1.5,
Martyniaceae,Proboscidea,no,Proboscidea spp.,genus,NA,
Urticaceae,Procris,no,Procris spp.,genus,1,
Amaryllidaceae,Proiphys,no,Proiphys amboinensis,species,6,
Lamiaceae,Prostanthera,no,Prostanthera junonis,species,4,
Lamiaceae,Prostanthera,no,Prostanthera spp.,genus,4,
Lamiaceae,Prostanthera,no,Prostanthera spp.,genus,4,
Burseraceae,Protium,no,Protium spp.,family,9,
Lamiaceae,Prunella,no,Prunella grandiflora,species,4,
Lamiaceae,Prunella,no,Prunella grandiflora,species,4,yes
Lamiaceae,Prunella,no,Prunella vulgaris,species,3.999136,
Lamiaceae,Prunella,no,Prunella vulgaris,species,4,
Lamiaceae,Prunella,no,Prunella vulgaris,species,3.9994475,yes
Lamiaceae,Prunella,no,Prunella vulgaris,species,4,yes
Lamiaceae,Prunella,no,Prunella vulgaris,species,4,yes
Rosaceae,Prunus,no,Prunus avium,species,2,
Rosaceae,Prunus,no,Prunus dulcis,species,2,
Rosaceae,Prunus,no,Prunus dulcis,species,2,
Rosaceae,Prunus,no,Prunus spp.,genus,2,
Rosaceae,Prunus,no,Prunus spp.,genus,2,
Rosaceae,Prunus,no,Prunus spp.,genus,2,
Rosaceae,Prunus,no,Prunus spp.,genus,2,
Rosaceae,Prunus,no,Prunus spp.,genus,4,
Acanthaceae,Pseuderanthemum,no,Pseuderanthemum variabile,species,4,yes
Acanthaceae,Pseuderanthemum,no,Pseuderanthemum variabile,species,4,
Brassicaceae,Pseuderucaria,no,Pseuderucaria clavata,species,41.3,
Malvaceae,Pseudobombax,no,Pseudobombax munguba,species,1876.5,
Fabaceae,Pseudoprosopis,no,Pseudoprosopis bampsiana,species,9.9,
Fabaceae,Pseudoprosopis,no,Pseudoprosopis euryphylla,species,7.1,
Pinaceae,Pseudotsuga,no,Pseudotsuga sp.,species,NA,yes
Myrtaceae,Psidium,no,Psidium cattleyanum,species,126.9,
Rubiaceae,Psydrax,no,Psydrax attenuatus,species,2,yes
Rubiaceae,Psydrax,no,Psydrax attenuatus,species,2,
Rubiaceae,Psydrax,no,Psydrax dicoccos,species,2,
Malpighiaceae,Pterandra,no,Pterandra spp.,genus,9,
Fabaceae,Pterocarpus,no,Pterocarpus dalbergioides,species,2,
Juglandaceae,Pterocarya,no,Pterocarya spp.,genus,1,
Cannabaceae,Pteroceltis,no,Pteroceltis spp.,genus,1,
Caprifoliaceae,Pterocephalus,no,Pterocephalus hookeri,species,1,yes
Caprifoliaceae,Pterocephalus,no,Pterocephalus hookeri,species,1,
Caprifoliaceae,Pterocephalus,no,Pterocephalus hookeri,species,1,yes
Malvaceae,Pterospermum,no,Pterospermum reticulatum,species,1,
Iteaceae,Pterostemon,no,Pterostemon spp.,genus,25,
Orchidaceae,Pterostylis,no,Pterostylis alobula,species,1147,
Orchidaceae,Pterostylis,no,Pterostylis patens,species,6333,
Brassicaceae,Pugionium,no,Pugionium spp.,genus,2,
Boraginaceae,Pulmonaria,no,Pulmonaria officinalis,species,3.9994475,yes
Boraginaceae,Pulmonaria,no,Pulmonaria officinalis,species,4,
Lythraceae,Punica,no,Punica spp.,genus,NA,
Bromeliaceae,Puya,no,Puya spp.,genus,9,
Brassicaceae,Pycnoplinthopsis,no,Pycnoplinthopsis spp.,genus,14,
Brassicaceae,Pycnoplinthus,no,Pycnoplinthus spp.,genus,9,
Rosaceae,Pyracantha,no,Pyracantha spp.,genus,10,
Zingiberaceae,Pyrgophyllum,no,Pyrgophyllum yunnanensis,species,20.61,
Zingiberaceae,Pyrgophyllum,no,Pyrgophyllum yunnanensis,species,20.67,
Ericaceae,Pyrola,no,Pyrola chlorantha,species,6000,
Ericaceae,Pyrola,no,Pyrola chlorantha,species,6025,yes
Ericaceae,Pyrola,no,Pyrola minor,species,4666.667,
Ericaceae,Pyrola,no,Pyrola minor,species,4575,yes
Ericaceae,Pyrola,no,Pyrola rotundifolia,species,5975.61,
Ericaceae,Pyrola,no,Pyrola rotundifolia,species,5975,
Rosaceae,Pyrus,no,Pyrus spp.,genus,7,
Vochysiaceae,Qualea,no,Qualea spp.,genus,18,
Ochnaceae,Quiina,no,Quiina spp.,genus,15,
Schoepfiaceae,Quinchamalium,no,Quinchamalium chilense,species,1,
Schoepfiaceae,Quinchamalium,no,Quinchamalium chilense,species,1,
Schoepfiaceae,Quinchamalium,no,Quinchamalium chilense,species,1,yes
Schoepfiaceae,Quinchamalium,no,Quinchamalium chilense,species,1,
Rubiaceae,Randia,no,Randia mira,species,NA,
Ranunculaceae,Ranunculus,no,Ranunculus acris,species,25,
Ranunculaceae,Ranunculus,no,Ranunculus austro-oreganus,species,1,
Ranunculaceae,Ranunculus,no,Ranunculus californicus,species,1,
Ranunculaceae,Ranunculus,no,Ranunculus californicus,species,1,
Ranunculaceae,Ranunculus,no,Ranunculus occidentalis,species,1,
Ranunculaceae,Ranunculus,no,Ranunculus pedatifidus,species,NA,
Ranunculaceae,Ranunculus,no,Ranunculus pedatifidus,species,43.4,
Ranunculaceae,Ranunculus,no,Ranunculus peduncularis,species,68.84,
Primulaceae,Rapanea,no,Rapanea variablis,species,4,
Brassicaceae,Raphanus,no,Raphanus raphanistrum,species,5.9,
Brassicaceae,Raphanus,no,Raphanus raphanistrum,species,5.67567901,
Brassicaceae,Raphanus,no,Raphanus raphanistrum,species,5.49540874,
Brassicaceae,Raphanus,no,Raphanus raphanistrum,species,3.2,
Brassicaceae,Raphanus,no,Raphanus raphanistrum,species,6.8,
Brassicaceae,Raphanus,no,Raphanus raphanistrum,species,8.7,
Brassicaceae,Raphanus,no,Raphanus raphanistrum,species,12,
Brassicaceae,Raphanus,no,Raphanus raphanistrum,species,5,
Brassicaceae,Raphanus,no,Raphanus raphanistrum,species,5.36,
Brassicaceae,Rapistrum,no,Rapistrum rugosum,species,1.8,
Asteraceae,Ratibida,no,Ratibida pinnata,species,1,
Asteraceae,Ratibida,no,Ratibida pinnata,species,1,
Apocynaceae,Rauvolfia,no,Rauvolfia micrantha,species,2,
Apocynaceae,Rauvolfia,no,Rauvolfia spp.,genus,2,
Strelitziaceae,Ravenala,no,Ravenala spp.,genus,NA,
Asparagaceae,Reineckea,no,Reineckea spp.,genus,6,
Linaceae,Reinwardtia,no,Reinwardtia spp.,genus,12,
Meliaceae,Reinwardtiodendron,no,Reinwardtiodendron spp.,genus,5,
Zingiberaceae,Renealmia,no,Renealmia nicolaioides,species,94.13,
Resedaceae,Reseda,no,Reseda spp.,genus,NA,
Restionaceae,Restio,no,Restio spp.,genus,1,
Fabaceae,Retama,no,Retama monosperma,species,4.452767,
Fabaceae,Retama,no,Retama monosperma,species,5.9,yes
Fabaceae,Retama,no,Retama monosperma,species,5.9,
Fabaceae,Retama,no,Retama monosperma,species,4.4,
Fabaceae,Retama,no,Retama monosperma,species,5.9,yes
Fabaceae,Retama,no,Retama sphaerocarpa,species,4.802482,
Fabaceae,Retama,no,Retama sphaerocarpa,species,4.47736842,
Fabaceae,Retama,no,Retama sphaerocarpa,species,4.7,
Fabaceae,Retama,no,Retama sphaerocarpa,species,5.12,
